asset,weight,status,sample mean (ann %),implied (ann %),implied - sample (ann %),bound multiplier (ann %)
0,0.01,SLACK,-20.2638,-20.2638,-0.0,0.0
1,-0.5,BINDING_LOWER,-20.5169,-6.0841,14.4328,14.4328
2,0.0546,SLACK,4.7052,4.7052,0.0,0.0
3,1.0,BINDING_UPPER,36.3321,18.1619,-18.1702,18.1702
4,-0.5,BINDING_LOWER,-11.0277,-7.746,3.2816,3.2816
5,-0.1811,SLACK,-36.3723,-36.3723,0.0,0.0
6,0.6305,SLACK,153.1142,153.1142,0.0,0.0
7,-0.1044,SLACK,-62.6812,-62.6812,0.0,0.0
8,0.3719,SLACK,110.9446,110.9446,-0.0,0.0
9,0.2184,SLACK,89.4218,89.4218,-0.0,0.0
