dgp,model,bias_mean,bias_median,rmse_mean,rmse_median,mae_mean,mae_median,r2_mean,r2_median,r2_pooled
"i.i.d. sigma, Gaussian",MSE,-0.00015721196090765388,-0.00019861099064860053,0.023111256996681467,0.023159986385632825,0.01997729323985909,0.019992216771272834,-0.003968055681372151,-0.0041997777832152305,-0.0032898530441152207
"i.i.d. sigma, Gaussian",MAE,-0.0016255822206550402,-0.0015848298039400064,0.023222713201676362,0.02323997558665651,0.01998578418471252,0.019985218556505237,-0.01367887951502057,-0.013086938927272196,-0.013002728175711908
"i.i.d. sigma, Gaussian",Huber,-0.0008813698403870175,-0.0008827731252892862,0.023140719626266796,0.02317023492793116,0.019962863536178987,0.019988229943893633,-0.006528566655961232,-0.006960847346231036,-0.005852221992670437
"i.i.d. sigma, Gaussian",Merton-structural,-0.0001452377376756092,-0.00022414472440715168,0.02311238611002229,0.023153939758435313,0.019975802830106682,0.019990922570596557,-0.004064232470981593,-0.005121130202914714,-0.0033891921411066672
"i.i.d. sigma, Gaussian",SDF-weighted,0.002716751116975116,0.0024837977815204467,0.023330568095673833,0.02340934344458076,0.020200846514549155,0.020234207745070752,-0.02317564801254448,-0.016104984004262413,-0.022460680235036
"i.i.d. sigma, Gaussian",Merton (rolling vol),0.00019896897514288625,0.0007644625401010933,0.035062908146244284,0.03489981507492639,0.027967361621117553,0.027545826965709293,-1.315550331018946,-1.2697532113097576,-1.3137766719742818
"i.i.d. sigma, Gaussian",Merton (oracle sigma),0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
"i.i.d. sigma, Student-t (nu=5)",MSE,-0.00016661092343979819,-0.0002461225196114706,0.023138599848305366,0.02316400168457923,0.02001242735521409,0.02001713179254557,-0.006349489276149323,-0.007586482608391565,-0.005661860896440496
"i.i.d. sigma, Student-t (nu=5)",MAE,-0.001601886171363138,-0.0015325340967533765,0.023261488648274247,0.02328103763218438,0.020033464168297096,0.02003228928248782,-0.017064579184796824,-0.017521274649638152,-0.016397834482957396
"i.i.d. sigma, Student-t (nu=5)",Huber,-0.0008865692107921331,-0.0008488788707297502,0.02317052606409934,0.023201682609134182,0.020005959843616902,0.020017105307698638,-0.009125946833235987,-0.010591587852796014,-0.008447898603072268
"i.i.d. sigma, Student-t (nu=5)",Merton-structural,-0.00017154636426347506,-0.0002464905648736946,0.02313614852978057,0.023169414258837853,0.020010624717892705,0.02002791198396505,-0.006130057056716015,-0.006791097959580106,-0.005455435195947933
"i.i.d. sigma, Student-t (nu=5)",SDF-weighted,0.002758081481831146,0.0027875947567915136,0.023369579421712652,0.023427568113233467,0.02024392563878706,0.02023873471447596,-0.026563894398959655,-0.02557518445418039,-0.025873183821345513
"i.i.d. sigma, Student-t (nu=5)",Merton (rolling vol),0.00012143397128225725,-0.0003258042653871014,0.05517068756554645,0.05199826041015876,0.03745279295027983,0.03751374495832043,-5.118098996386712,-4.039848478062642,-5.083828303744748
"i.i.d. sigma, Student-t (nu=5)",Merton (oracle sigma),0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
