dgp,model,pinball,coverage,target
"i.i.d. sigma, Gaussian",Q10,0.003454870373953248,0.12838840188806472,0.1
"i.i.d. sigma, Gaussian",Q50,0.010181698943087923,0.4949089683074848,0.5
"i.i.d. sigma, Gaussian",Q90,0.003945709691374184,0.8718476062036412,0.9
"i.i.d. sigma, Student-t (nu=5)",Q10,0.003452839469489227,0.126770060687795,0.1
"i.i.d. sigma, Student-t (nu=5)",Q50,0.010204653629754923,0.49683074848280506,0.5
"i.i.d. sigma, Student-t (nu=5)",Q90,0.003936346604430077,0.8692515171948753,0.9
"i.i.d. sigma, Student-t (nu=3)",Q10,0.0034526210525348254,0.1272757923128793,0.1
"i.i.d. sigma, Student-t (nu=3)",Q50,0.010186203058696426,0.4994605529332435,0.5
"i.i.d. sigma, Student-t (nu=3)",Q90,0.003955339249217401,0.868509777478085,0.9
"i.i.d. sigma, skew-normal",Q10,0.003450461260914196,0.12855697909642616,0.1
"i.i.d. sigma, skew-normal",Q50,0.010144064209865132,0.49335805799055965,0.5
"i.i.d. sigma, skew-normal",Q90,0.003958672315451999,0.8702966958867162,0.9
"GARCH(1,1)",Q10,0.0011541071317389157,0.14942683749157112,0.1
"GARCH(1,1)",Q50,0.003144690033937493,0.500944032366824,0.5
"GARCH(1,1)",Q90,0.0023543665231567047,0.8404585300067431,0.9
