kappa,model,bias_mean,bias_median,rmse_mean,rmse_median,mae_mean,mae_median,r2_mean,r2_median,r2_pooled,half_life_months
0.5,MSE,-0.0023062593522425127,0.0027837312051387057,0.03449941814653291,0.02691969710235812,0.022579344902666845,0.01965001330584637,0.6862405480229907,0.7145787760996369,0.7358148638228581,16.635532333438686
0.5,MAE,-0.006138121545651423,-0.0005859425825303541,0.035325757432478656,0.0257236571682728,0.02265112901296653,0.019261243242562877,0.6810655026836823,0.729164312819565,0.7152303337440573,16.635532333438686
0.5,Huber,-0.006703384242771795,0.00024253967314941206,0.038497931416739434,0.02648033530213988,0.024494724936709306,0.0197129471989863,0.6348973040055136,0.6950661602273054,0.6515377489053236,16.635532333438686
0.5,Merton-structural,-0.002253062403579463,0.0028617532375588683,0.034213857806011,0.027100689599781787,0.02228818347569323,0.019594152776455362,0.6909218649019684,0.7169736391311914,0.7413282067886994,16.635532333438686
0.5,SDF-weighted,-0.0020233053078796814,0.002395110589094949,0.034113792515705996,0.02691957356917678,0.022545876940386678,0.019961608420327882,0.6886422871000146,0.7144723706960302,0.7453641291163915,16.635532333438686
0.5,Merton (rolling vol),0.000531154293690539,0.0006717989413528394,0.038434033914180356,0.035637596346426194,0.02587684355576519,0.023843227130829196,0.5612332560623146,0.5831286501213055,0.717215202982632,16.635532333438686
0.5,Merton (oracle sigma),-0.00017423116911073847,-0.00017017719957526274,0.00026807529002479075,0.0002527494322914712,0.00017423116911073847,0.00017017719957526274,0.9999772970505617,0.9999798996433114,0.9999862605191501,16.635532333438686
1.0,MSE,-0.0002645308072163291,0.0020082376466401676,0.03575400101158483,0.028441187192047628,0.023014510073385477,0.02101977689232259,0.7188473657665654,0.7428048914091108,0.738184467614815,8.317766166719343
1.0,MAE,-0.0050891752736354386,-0.0016375541624369216,0.03693029735373069,0.02870180957360662,0.022990909414756518,0.02015244267811517,0.7090633754292244,0.7403666321020441,0.7110917695715191,8.317766166719343
1.0,Huber,-0.005073070351722951,-0.0014575907613277753,0.04025620110676995,0.02986683715612465,0.02450642922008876,0.021112211943195895,0.6671059301505881,0.7004430739911078,0.6430467766194621,8.317766166719343
1.0,Merton-structural,-0.00017477207535025036,0.002132099851360155,0.03537540075084918,0.028680550593332264,0.022613958678538246,0.020914214064895097,0.7226875999635791,0.7418408756074538,0.7455579573289576,8.317766166719343
1.0,SDF-weighted,0.000722524746744804,0.0035403960164099267,0.035661869683641226,0.029138913337756034,0.023362293764078244,0.021855792307857457,0.7163216776220572,0.731807685876178,0.7418460275127816,8.317766166719343
1.0,Merton (rolling vol),0.00044347571287093403,0.0006851521630987906,0.03879711452073122,0.03529983328719667,0.025622794324532953,0.024900745650095053,0.6395379366757693,0.6186023650823463,0.7250382039309996,8.317766166719343
1.0,Merton (oracle sigma),-0.0003412608795826823,-0.00034329626177436904,0.0005318991513342186,0.0005331719534935105,0.0003412608795826823,0.00034329626177436904,0.9999284097942923,0.9999369829483694,0.9999485056046191,8.317766166719343
2.0,MSE,0.0004617406768687585,0.0018344593503403113,0.038171702601870874,0.03118972346923788,0.02413802693013943,0.02250548156256625,0.7163217518994501,0.7393302276700884,0.7008153027997526,4.1588830833596715
