kappa,model,pinball,coverage,target
0.5,Q10,0.00402896190151746,0.1915492957746479,0.1
0.5,Q50,0.0104848460138249,0.5046948356807512,0.5
0.5,Q90,0.006986912821435793,0.7863849765258216,0.9
1.0,Q10,0.004270908855300501,0.19859154929577463,0.1
1.0,Q50,0.01079871943338765,0.5078247261345853,0.5
1.0,Q90,0.006744555750703779,0.8037558685446009,0.9
2.0,Q10,0.004428370403491225,0.19107981220657277,0.1
2.0,Q50,0.011416766451698503,0.5046948356807512,0.5
2.0,Q90,0.0071860157751408174,0.8079812206572771,0.9
4.0,Q10,0.004523789375458831,0.18184663536776213,0.1
4.0,Q50,0.01211285717777369,0.5098591549295775,0.5
4.0,Q90,0.007693431483275728,0.8122065727699531,0.9
